"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean40","Relative Clause",-1,"go_past_time","A-Maze",0.0322504029384257,0.025316124107225,-0.037041355,0.08829116,17.2060908426553,-25.7453540437127,60.7457679188621
"mean41","Relative Clause",0,"go_past_time","A-Maze",0.0315262954181533,0.09259744007,0.029476465,0.15439295,80.6207355301501,25.295322926179,138.194890037491
"mean42","Relative Clause",1,"go_past_time","A-Maze",0.0192220791455704,0.001137888449055,-0.0376082125,0.0381288125,0.955664139228562,-31.9736696558618,32.9945185282373
"mean43","Relative Clause",2,"go_past_time","A-Maze",0.0241143998779479,0.013284170624025,-0.0328619175,0.0616055875,11.0388613646723,-27.8741273303619,50.8364413858659
"mean44","Relative Clause",-1,"go_past_time","SPR",0.0182734493007739,-0.0071181774303525,-0.04267944,0.028716075,-2.78198546118183,-16.603376305036,11.3932441926476
"mean45","Relative Clause",0,"go_past_time","SPR",0.0251453232049462,-0.0052539395302,-0.0546668675,0.0427846875,-2.20329985346499,-23.0180813283446,18.2999136514442
"mean46","Relative Clause",1,"go_past_time","SPR",0.0222693058405044,0.0261015430947,-0.0168617325,0.071294715,10.8422909231493,-7.04155871950956,29.8640693175501
"mean47","Relative Clause",2,"go_past_time","SPR",0.0201710567443764,0.0253382232660625,-0.013360505,0.064441615,10.7763012288749,-5.68137789386137,27.8062313652969
"mean48","Relative Clause",-1,"total_duration","MoTR",0.0201198497864683,0.040915707083875,0.00113174825,0.0791418725,20.6038068447995,0.586699976551552,39.7989984753839
"mean49","Relative Clause",0,"total_duration","MoTR",0.022960593653308,0.110781006125,0.0657290125,0.1555483,61.9133470979139,36.4996477559057,87.6090641073225
"mean50","Relative Clause",1,"total_duration","MoTR",0.0256419980343765,0.053556366551,0.0027850615,0.104128325,24.276204661832,1.27227611643065,47.4103834917318
"mean51","Relative Clause",2,"total_duration","MoTR",0.0226592554684569,0.0261693274760475,-0.017632925,0.07167365,11.4888918985871,-7.63642376852125,31.4859721136453
"mean52","Relative Clause",-1,"FPReg","MoTR",0.229861017589296,0.033631372326,-0.423454925,0.47329545,0.00271914250440799,-0.0324523234045863,0.0376779895419403
"mean53","Relative Clause",0,"FPReg","MoTR",0.242458551832518,0.70636997775,0.243502975,1.2039235,0.0195041700122599,0.00675154102580539,0.034410195892221
