"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean31","Relative Clause",2,"gaze_duration","MoTR",0.0286979417769746,0.0122493479688725,-0.039787835,0.07407637,6.04516405535639,-19.6149864315304,37.1972818700989
"mean32","Relative Clause",-1,"go_past_time","MoTR",0.0168357462510367,0.016563767966175,-0.015879105,0.049672095,7.68343171624147,-7.3472933410321,23.5267149100804
"mean33","Relative Clause",0,"go_past_time","MoTR",0.0251492126000751,0.0775637639375,0.0292917175,0.1296819,38.6731901295978,14.6418189456108,65.7362761434295
"mean34","Relative Clause",1,"go_past_time","MoTR",0.0353831711405952,0.060943879535775,-0.0035359195,0.13484225,31.5601669921122,-1.81097428730145,71.5158115676906
"mean35","Relative Clause",2,"go_past_time","MoTR",0.0344496463559716,-0.00166958701975,-0.066268295,0.0676851525,-0.891577388802446,-37.7466235948547,39.0324479484247
"mean36","Relative Clause",-1,"go_past_time","G-Maze",0.0336472540654199,-0.027067028655275,-0.09367639,0.039340015,-20.841882889828,-71.398667881864,31.1947234450159
"mean37","Relative Clause",0,"go_past_time","G-Maze",0.0347431344548332,0.1159467274275,0.0473121525,0.183248125,113.750101771026,45.7029026530716,181.955492383471
"mean38","Relative Clause",1,"go_past_time","G-Maze",0.0305224757904256,0.059592493961,-0.000329475149999999,0.118864825,61.4900383630342,-0.320030440738019,125.137173779822
"mean39","Relative Clause",2,"go_past_time","G-Maze",0.0320979022646741,-0.04157244701555,-0.1043849,0.0208430475,-42.1505917780742,-106.385781026196,20.7940569246614
"mean40","Relative Clause",-1,"go_past_time","A-Maze",0.0302934279606882,0.025663376458175,-0.0340899075,0.0870316425,17.6413775569542,-23.7359442554172,58.9119371612252
"mean41","Relative Clause",0,"go_past_time","A-Maze",0.0303187912472048,0.092665412235,0.03206099,0.153726025,80.6865859234664,27.6076306081752,134.31757943547
"mean42","Relative Clause",1,"go_past_time","A-Maze",0.0202129855450763,0.000714536467525,-0.03839542,0.0413973475,0.60032271667429,-33.2761052559012,35.456845757635
"mean43","Relative Clause",2,"go_past_time","A-Maze",0.0264936903854684,0.01329008013871,-0.0339052175,0.0699245,11.0926521378905,-29.1596625039755,58.3603686103114
"mean44","Relative Clause",-1,"go_past_time","SPR",0.0187859549051186,-0.005678500956025,-0.0426075375,0.0315996075,-2.95847453157708,-22.3444788923537,16.6077876962483
"mean45","Relative Clause",0,"go_past_time","SPR",0.0256639826827809,-0.0033056788241735,-0.0521625225,0.047122305,-1.81908759779927,-29.073846351132,26.133854331522
"mean46","Relative Clause",1,"go_past_time","SPR",0.0231724754301691,0.02825247814515,-0.0168432525,0.07313695,15.2652881609133,-9.18730363079572,39.8132539982203
"mean47","Relative Clause",2,"go_past_time","SPR",0.0219028806785972,0.02749825540691,-0.01452475,0.07115638,14.8415355648273,-7.80746256632929,39.0665296527292
