"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean14","Coordination",1,"go_past_time","A-Maze",0.0216981671730808,-0.023002334298925,-0.065930695,0.0196343175,-19.5668451108294,-56.5434754738486,16.4565794319627
"mean15","Coordination",2,"go_past_time","A-Maze",0.0156739653739357,0.003206851770725,-0.0281090925,0.03385138,2.43795598715351,-21.3256988094938,25.7960857065389
"mean16","Coordination",-1,"go_past_time","SPR",0.0205813515746914,0.013319600358725,-0.029445525,0.0533217675,3.92322635712209,-9.58470872652965,15.7569080392838
"mean17","Coordination",0,"go_past_time","SPR",0.0235546098292777,0.01071055612545,-0.0359939125,0.0567520225,3.15941536791134,-10.6150962416241,17.1266173338928
"mean18","Coordination",1,"go_past_time","SPR",0.0256163214455354,0.023518792100285,-0.0254979725,0.07428254,6.87976395706302,-7.55312990046119,21.924170365079
"mean19","Coordination",2,"go_past_time","SPR",0.0186817777179501,0.022475654868725,-0.0141210225,0.06007909,7.15463450534651,-4.51665311036359,19.4694995120643
"mean20","Coordination",-1,"total_duration","MoTR",0.0162737518814922,0.037939256119,0.0061840395,0.0700099625,18.0736643897737,2.9333181034117,33.3830541989844
"mean21","Coordination",0,"total_duration","MoTR",0.0262402075647668,0.083994204457,0.0319194675,0.13524795,35.6491968861671,12.9979489945904,58.1114114451014
"mean22","Coordination",1,"total_duration","MoTR",0.0213132640814671,0.06272442819675,0.0202502975,0.102482225,24.9216246230598,7.98249628077253,41.9903289342025
"mean23","Coordination",2,"total_duration","MoTR",0.0237290294622261,0.00316832212673925,-0.04406042,0.0511488175,1.1929336277028,-16.2549847475965,19.0109646889507
"mean24","Coordination",-1,"FPReg","MoTR",0.165178577383273,-0.067238157753275,-0.3918599,0.252580375,-0.00863341406804228,-0.050550399100496,0.0327346744286195
"mean25","Coordination",0,"FPReg","MoTR",0.293336221476508,0.53799402935175,-0.0154099175,1.13796625,0.00961639264423252,-0.000300837380916787,0.0210531848689506
"mean26","Coordination",1,"FPReg","MoTR",0.325650346249127,1.03429938015,0.412831075,1.70881975,0.0223491731357347,0.00824397887261681,0.0405228449756001
"mean27","Coordination",2,"FPReg","MoTR",0.15567907541759,0.4178046413025,0.10870415,0.717567875,0.0735256480132321,0.0193345873952101,0.131236825468607
"mean28","Relative Clause",-1,"gaze_duration","MoTR",0.0103577385320899,-0.0055083568889315,-0.0259326225,0.01477484,-2.18735967713744,-10.3425783564675,5.79690017268233
"mean29","Relative Clause",0,"gaze_duration","MoTR",0.0170424982144991,0.03372736325695,0.000534291075,0.0671173625,14.1093851072576,0.217483549149924,28.2140052365744
"mean30","Relative Clause",1,"gaze_duration","MoTR",0.0184302694578611,0.0214846528343975,-0.0154112475,0.05723077,7.85989377709278,-5.70653091441488,20.8804140959616
"mean31","Relative Clause",2,"gaze_duration","MoTR",0.0160139358843603,0.00576334738828,-0.0265133175,0.03674592,2.14909583714986,-9.75094807890854,13.5855442264436
"mean32","Relative Clause",-1,"go_past_time","MoTR",0.0135273215686983,0.007255324681265,-0.0184632875,0.03398693,3.11549765599946,-8.08973846962313,14.5729753674818
"mean33","Relative Clause",0,"go_past_time","MoTR",0.0212925566853367,0.0559154740671225,0.01355393,0.0979327575,25.4205578626315,5.9973181608052,44.8496732832938
"mean34","Relative Clause",1,"go_past_time","MoTR",0.0263469948403628,0.038290056668475,-0.014770945,0.0889779025,15.5627729585831,-6.02107176081206,36.4453361434749
"mean35","Relative Clause",2,"go_past_time","MoTR",0.0286656473360718,0.0118783102164,-0.0462847775,0.0662878525,6.38683493686869,-25.2725440306781,35.9266239131794
"mean36","Relative Clause",-1,"go_past_time","G-Maze",0.0339242101273011,-0.0265271081558975,-0.093759995,0.038761935,-20.1607391484057,-71.0498444514503,31.0132139303191
"mean37","Relative Clause",0,"go_past_time","G-Maze",0.0383751488991762,0.0978275351495,0.0168427875,0.169391275,95.5702554518621,15.8442414730953,167.399763652873
"mean38","Relative Clause",1,"go_past_time","G-Maze",0.0312791775356269,0.052448864223,-0.010813885,0.11221945,54.0282059588725,-11.567037406532,117.708093375445
"mean39","Relative Clause",2,"go_past_time","G-Maze",0.0321421582458113,-0.0389139595234125,-0.102909325,0.0248546175,-39.5178028496083,-106.652982815045,24.2651803669064
"mean40","Relative Clause",-1,"go_past_time","A-Maze",0.0336367537078581,0.02246001346,-0.043553425,0.0886215675,15.063843243369,-30.7188229386827,59.4784409285588
"mean41","Relative Clause",0,"go_past_time","A-Maze",0.0319610829102284,0.08205482321,0.0180576275,0.144442625,71.1168265487311,15.9129016415675,126.640918578798
"mean42","Relative Clause",1,"go_past_time","A-Maze",0.0194934747300602,0.00030561791161,-0.0379532075,0.038556885,0.209327004637316,-32.6154921202319,33.2846951622415
"mean43","Relative Clause",2,"go_past_time","A-Maze",0.0376120671812195,0.0239726201559005,-0.0451691225,0.104486775,19.5761405701419,-38.7673483159736,83.8584695750468
"mean44","Relative Clause",-1,"go_past_time","SPR",0.0181214267223,-0.008131771655525,-0.043733985,0.0283011425,-2.44304835161072,-13.3399457882363,8.47468389216533
"mean45","Relative Clause",0,"go_past_time","SPR",0.0245227192354208,-0.0061821080866875,-0.0557617125,0.0423357925,-2.00395266724764,-18.354308291494,13.8462661252206
"mean46","Relative Clause",1,"go_past_time","SPR",0.0210674224144809,0.023591376212125,-0.018188675,0.0640487425,7.50097794941787,-5.82245047970014,20.6927337091826
"mean47","Relative Clause",2,"go_past_time","SPR",0.0196351571625242,0.0235399813518275,-0.0152062375,0.0612080225,7.80548253168946,-5.02484890177953,21.0149364743423
"mean48","Relative Clause",-1,"total_duration","MoTR",0.0216514621345254,0.04365505557266,-0.000565047625,0.085013945,21.6375744716965,-0.288515349286156,42.0678971597838
"mean49","Relative Clause",0,"total_duration","MoTR",0.0248367273550573,0.109875315075,0.060378535,0.15893415,60.3891277668437,33.4407238546229,87.7074768198123
"mean50","Relative Clause",1,"total_duration","MoTR",0.02636133378352,0.049436946362,-0.00330694875,0.10206255,21.486715593694,-1.44946105862545,44.5246302465345
"mean51","Relative Clause",2,"total_duration","MoTR",0.0231692049984174,0.028469541441025,-0.0174651775,0.073232015,12.0121219329895,-7.51745988284143,30.4723664673381
"mean52","Relative Clause",-1,"FPReg","MoTR",0.236599747425599,0.03099144236314,-0.441972925,0.49841075,0.0023898020257147,-0.0356728635331204,0.0403978026225816
"mean53","Relative Clause",0,"FPReg","MoTR",0.247658617266865,0.736686173325,0.26975875,1.245675,0.0209080204559441,0.00759986972939481,0.0352654464587699
"mean54","Relative Clause",1,"FPReg","MoTR",0.399692580107958,0.59043984277075,-0.180192675,1.36168,0.0105407220068733,-0.00305752899156745,0.0263538237892
"mean55","Relative Clause",2,"FPReg","MoTR",0.138522852465388,0.127812723146575,-0.14316135,0.397624625,0.0301339101086901,-0.0339139940008711,0.092834448230777
"mean56","Adverb",-1,"gaze_duration","MoTR",0.0105880590088308,0.011626208930065,-0.008687508,0.0323477125,4.55742777844503,-3.40878803229802,12.7489806255211
"mean57","Adverb",0,"gaze_duration","MoTR",0.0170625499508081,0.0668834929525,0.0339470175,0.101857525,27.9482206803341,13.8237975293194,42.9176091660899
"mean58","Adverb",1,"gaze_duration","MoTR",0.0134090842655819,0.04282462731575,0.0175518375,0.06963399,13.8121608306421,5.69293555293279,22.4428040455767
"mean59","Adverb",2,"gaze_duration","MoTR",0.0183945377128026,0.005436103237185,-0.02984604,0.0432469775,1.86339414323266,-10.1194372322438,14.7094239374474
"mean60","Adverb",-1,"go_past_time","MoTR",0.0123408492597,0.011767384454215,-0.0124275575,0.0362821225,5.04870523854923,-5.4137267816801,15.5172935900305
"mean61","Adverb",0,"go_past_time","MoTR",0.0235541163595756,0.1293463482,0.083754885,0.17596225,60.4465376663347,37.8377946210095,85.1753769486448
"mean62","Adverb",1,"go_past_time","MoTR",0.0196916393499776,0.09875525355,0.060647235,0.13806755,35.3445942065207,21.5721421327707,49.4939460170283
"mean63","Adverb",2,"go_past_time","MoTR",0.0383362818173504,0.07181437905,-0.0036642695,0.147068025,40.0707640076585,-1.99539533231664,82.1981501751566
"mean64","Adverb",-1,"go_past_time","G-Maze",0.050707577979036,-0.00316617000895,-0.10391175,0.0989681975,-2.79627274859824,-84.850549080585,77.9419161105293
"mean65","Adverb",0,"go_past_time","G-Maze",0.0591174592295121,0.151950263339688,0.02518793,0.256686,153.945025965897,24.6352265422473,271.252093577326
"mean66","Adverb",1,"go_past_time","G-Maze",0.0339365430792155,0.016482086041925,-0.050050165,0.0844539125,15.5094741301848,-46.1074058151135,79.4565550116812
"mean67","Adverb",2,"go_past_time","G-Maze",0.0406628427767358,0.0384392791570885,-0.04434145,0.118723475,33.4424471526771,-39.0439837551558,103.202363424413
"mean68","Adverb",-1,"go_past_time","A-Maze",0.0354915088846717,0.0367848815653425,-0.0330157125,0.10649305,27.0678936956108,-25.717117274839,76.8464585620607
"mean69","Adverb",0,"go_past_time","A-Maze",0.0323561660888837,0.185403996225,0.12026085,0.245773325,161.699906197332,98.3313732164575,224.979647601905
"mean70","Adverb",1,"go_past_time","A-Maze",0.0194243521882255,0.04539963068375,0.00741928125,0.0836305275,35.5505609154465,5.90784991147468,65.6378462118767
"mean71","Adverb",2,"go_past_time","A-Maze",0.020707883425767,0.011821467112935,-0.02807494,0.05288807,9.26170168118603,-22.0625683267845,41.3446751533479
"mean72","Adverb",-1,"go_past_time","SPR",0.0214951521855125,-0.012054709879545,-0.054179555,0.0301462675,-3.60540302270523,-16.1794141103955,9.72271770760384
"mean73","Adverb",0,"go_past_time","SPR",0.0230658695671389,0.0183388396959245,-0.0257247625,0.06317952,5.62885382611918,-7.97059149987391,19.67617268923
"mean74","Adverb",1,"go_past_time","SPR",0.0206265588409072,0.05520841259675,0.016140045,0.09532845,16.363079700462,4.56024107818525,29.3011528932013
"mean75","Adverb",2,"go_past_time","SPR",0.023384620624966,-0.00802558394069025,-0.053005655,0.0389392625,-2.43469304463528,-16.9049127761503,14.2256025237843
"mean76","Adverb",-1,"total_duration","MoTR",0.0162963658877135,0.0622915103725,0.0310972675,0.094470325,28.3867046277048,14.1751216067431,43.3712399901216
"mean77","Adverb",0,"total_duration","MoTR",0.0240289841338876,0.155749173175,0.107639525,0.204284625,74.4286127125581,50.1193561824771,99.8604795724769
"mean78","Adverb",1,"total_duration","MoTR",0.0182958515648416,0.0857204455,0.0504561425,0.12151305,29.885202299596,17.4508243725439,42.5614188481938
"mean79","Adverb",2,"total_duration","MoTR",0.024850195210672,0.02375047857675,-0.0250273625,0.072907195,8.77397293612692,-9.11040999272362,27.0228001013007
"mean80","Adverb",-1,"FPReg","MoTR",0.207351474904784,-0.019586577358901,-0.4160867,0.381771725,-0.00164658446559072,-0.0362759093992716,0.031254712790586
"mean81","Adverb",0,"FPReg","MoTR",0.280635994726729,1.3692984675,0.84312485,1.96142,0.0504083034652405,0.0286235065760265,0.0765043126443697
"mean82","Adverb",1,"FPReg","MoTR",0.371633690007674,1.80302915375,1.09253925,2.544947,0.0311803989646362,0.0167710901792847,0.0502430345685977
"mean83","Adverb",2,"FPReg","MoTR",0.188303304003756,0.5706236991,0.205973025,0.943474725,0.0573869173561977,0.0209093308974796,0.0944397283153208
