expr_id,cond_id,para_nr,word,word_nr,response_true,sent_rg_id,sent_rg,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
1,8,128,last,12,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,128,month.,13,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,127,The,0,yes,-1,other,yes,1.0,557.0,557.0,557.0,557.0,557.0,1.0,0.0
1,8,127,student,1,yes,-1,other,yes,1.0,377.0,377.0,377.0,377.0,377.0,1.0,0.0
1,8,127,who,2,yes,-1,other,yes,1.0,498.0,498.0,498.0,498.0,498.0,1.0,0.0
1,8,127,was,3,yes,-1,other,yes,1.0,373.0,373.0,373.0,373.0,373.0,1.0,0.0
1,8,127,running,4,yes,-1,other,yes,1.0,620.0,620.0,620.0,620.0,620.0,1.0,0.0
1,8,127,out,5,yes,-1,other,yes,1.0,496.0,496.0,496.0,496.0,496.0,1.0,0.0
1,8,127,of,6,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,127,money,7,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,127,gave,8,yes,-1,other,yes,1.0,377.0,377.0,377.0,377.0,377.0,1.0,0.0
1,8,127,himself,9,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,127,a,10,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,127,haircut,11,yes,-1,other,yes,1.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0
1,8,127,last,12,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,127,week.,13,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,103,Maya,0,yes,-1,other,yes,1.0,433.0,433.0,433.0,433.0,433.0,1.0,0.0
1,7,103,played,1,yes,-1,other,yes,1.0,749.0,749.0,749.0,749.0,749.0,1.0,0.0
1,7,103,with,2,yes,-1,other,yes,1.0,433.0,433.0,433.0,433.0,433.0,1.0,0.0
1,7,103,the,3,yes,-1,other,yes,1.0,314.0,314.0,314.0,314.0,314.0,1.0,0.0
1,7,103,blocks,4,yes,-1,other,yes,1.0,502.0,502.0,502.0,502.0,502.0,1.0,0.0
1,7,103,and,5,yes,-1,other,yes,1.0,371.0,371.0,371.0,371.0,371.0,1.0,0.0
1,7,103,the,6,yes,-1,other,yes,1.0,312.0,312.0,312.0,312.0,312.0,1.0,0.0
1,7,103,"balls,",7,yes,-1,other,yes,1.0,571.0,571.0,571.0,571.0,571.0,1.0,0.0
1,7,103,but,8,yes,-1,other,yes,1.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0
1,7,103,she,9,yes,-1,other,yes,1.0,314.0,314.0,314.0,314.0,314.0,1.0,0.0
