"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms","median","Q1","Q3"
"mean46","Relative Clause",1,"go_past_time","SPR",0.0241358167075966,0.0228733747345975,-0.023960135,0.0716493,7.4476618237316,-7.85144012807897,23.2098484577725,7.3583715206303,2.12326419126015,12.5845810538103
"mean47","Relative Clause",2,"go_past_time","SPR",0.0230166865740655,0.025381729654755,-0.0202439675,0.0701368175,8.73057846586894,-7.06558466224969,24.2781980806796,8.74807032262396,3.43382118718453,13.9773190052716
"mean48","Relative Clause",-1,"total_duration","MoTR",0.0249450902104625,0.0474914752266,-0.00370639225,0.09683706,25.5907368576995,-1.97928812951157,52.1659039301871,25.5505212314747,17.1289761392244,34.2904493642352
"mean49","Relative Clause",0,"total_duration","MoTR",0.0338122641618908,0.140759930825,0.07446066,0.20546575,84.2272514231085,44.3725594492617,123.847556754983,84.6083771566125,70.172662373812,98.2181884906136
"mean50","Relative Clause",1,"total_duration","MoTR",0.0279825229431504,0.0599707873,0.00613010725,0.11480505,27.4399659478366,2.77405246802805,52.7233517163283,27.2906355924816,18.6516197979771,36.2786008045114
"mean51","Relative Clause",2,"total_duration","MoTR",0.0311177246600303,0.030678533036535,-0.0301384425,0.09180436,19.8383040483596,-19.3450588243218,59.3521017644739,20.3304576709493,5.70249995258692,33.0556643620639
"mean52","Relative Clause",-1,"FPReg","MoTR",0.243498585528586,0.0392888225050055,-0.44522155,0.5066851,0.00317245387929672,-0.0354213442821524,0.0407264674818729,20.3304576709493,5.70249995258692,33.0556643620639
"mean53","Relative Clause",0,"FPReg","MoTR",0.251345025223669,0.7510009495925,0.276510825,1.256222,0.0211832853094694,0.007569833816893,0.0359100097613218,20.3304576709493,5.70249995258692,33.0556643620639
"mean54","Relative Clause",1,"FPReg","MoTR",0.392455778021084,0.62749712040025,-0.127510175,1.39174525,0.011049165954545,-0.00214337092393166,0.0266175550813929,20.3304576709493,5.70249995258692,33.0556643620639
"mean55","Relative Clause",2,"FPReg","MoTR",0.145979903798819,0.124138917819887,-0.169896925,0.40449655,0.0292796773121391,-0.0401957356222271,0.0952164530950045,20.3304576709493,5.70249995258692,33.0556643620639
"mean56","Adverb",-1,"gaze_duration","MoTR",0.0113913005743259,0.02015124455784,-0.00273306425,0.0417370275,8.07702209730892,-1.09379780178518,16.7412271116967,8.18090849719758,5.06407722104194,11.1791845306261
"mean57","Adverb",0,"gaze_duration","MoTR",0.0173445710881616,0.08179196725,0.04793734,0.11539815,35.2606641902949,20.0099596437895,50.670919429536,35.2702237529688,30.0527652274206,40.2834962456554
"mean58","Adverb",1,"gaze_duration","MoTR",0.020237014194,0.049792761354725,0.0086617805,0.0888976325,17.086898739635,2.89563089592558,30.6400735624838,17.1165939913771,12.5475332953044,21.7396633565986
