"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
5.7,-1.4343673440639,13.8974837724525,7.51088812120429,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.8,-1.35109785570324,14.3249869052195,7.6179027436196,-348.105302673517,"gaze_duration",TRUE,"wt-1"
5.9,-0.326897760995905,14.8137961999189,7.70811551477112,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6,-1.54834161044352,14.4788068627432,7.53007503027766,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.1,-0.88878809449676,15.438768377182,8.03357510673305,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.2,0.195952030945875,14.9525917017802,8.25334823219703,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.3,-0.956522206408124,14.9867422600709,8.07757576953315,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.4,-0.378267942319724,14.8531298176173,8.23547999727145,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.5,-0.424628962826432,14.9911757540869,8.42209797014021,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.6,0.19398103062889,15.3135505989537,8.7716260559269,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.7,-0.00403926451406278,15.7833454691556,8.76786303286343,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.8,-0.432571449020145,16.0476562707524,8.64444462467077,-348.105302673517,"gaze_duration",TRUE,"wt-1"
6.9,0.011394656523521,15.3454948333922,8.85634919080059,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7,0.697706393892929,15.1932176394355,8.96238119961384,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.1,0.496532919612889,16.348907488835,9.19498506047114,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.2,-0.0222951530967634,15.4050650555556,9.00254682637797,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.3,0.359371885685562,15.378800711366,9.06404259076538,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.4,0.904509967110982,15.8880255985891,9.49277885651816,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.5,0.691770767769469,15.4199915328855,9.32413210033849,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.6,0.486481969841009,15.3414218187762,9.33168230158833,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.7,-0.228140925541027,16.0568755817185,9.55504116752741,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.8,0.722176635609799,16.471732174528,9.70571414849775,-348.105302673517,"gaze_duration",TRUE,"wt-1"
7.9,0.723993897048047,15.8296687088773,9.53420185895595,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8,1.00575986579912,16.4989265377966,9.83468995610775,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.1,0.991837055935605,15.4199148866333,9.70099083854473,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.2,0.142370030209406,16.2258504000047,9.92281851730814,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.3,0.367183855126257,15.1746043210429,9.8007012680934,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.4,0.773719272212645,16.1294994863926,9.80711549985278,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.5,1.22290359093944,15.5905730692688,10.0882335619611,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.6,0.798915367801044,15.2555033112854,9.89262163686317,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.7,1.36853707916907,15.9838281948121,10.1048824782108,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.8,0.502002798241278,15.3073372402069,9.77469607260099,-348.105302673517,"gaze_duration",TRUE,"wt-1"
8.9,0.418068794455905,15.8428705593008,10.0038152708433,-348.105302673517,"gaze_duration",TRUE,"wt-1"
