,experiment,metric,measure,lm_fit,n_subj,n_item,Q1,median,Q3,failed_mean,power_Q1,power_median,power_Q3
35,Relative Clause,gaze_duration,MoTR,ill,80,24,9.51460719400961,15.3667056849761,20.9896725066478,0.0166666666666667,0.18,0.357142857142857,0.65979381443299
36,Relative Clause,go_past_time,MoTR,good,10,24,28.2668684700325,36.7909003045261,45.0861895403858,0.00666666666666665,0.0909090909090909,0.191919191919192,0.22
37,Relative Clause,go_past_time,MoTR,good,20,24,28.2668684700325,36.7909003045261,45.0861895403858,0.00333333333333334,0.12,0.252525252525253,0.36
38,Relative Clause,go_past_time,MoTR,good,40,24,28.2668684700325,36.7909003045261,45.0861895403858,0.00999999999999999,0.313131313131313,0.545454545454545,0.737373737373737
39,Relative Clause,go_past_time,MoTR,good,60,24,28.2668684700325,36.7909003045261,45.0861895403858,0.0166666666666667,0.515151515151515,0.724489795918367,0.857142857142857
40,Relative Clause,go_past_time,MoTR,good,80,24,28.2668684700325,36.7909003045261,45.0861895403858,0.00999999999999999,0.530612244897959,0.81,0.93939393939394
41,Relative Clause,go_past_time,G-Maze,good,10,24,72.6609621838719,96.5732089711753,121.436221056026,0.00666666666666666,0.19,0.303030303030303,0.494949494949495
42,Relative Clause,go_past_time,G-Maze,good,20,24,72.6609621838719,96.5732089711753,121.436221056026,0,0.4,0.59,0.8
43,Relative Clause,go_past_time,G-Maze,good,40,24,72.6609621838719,96.5732089711753,121.436221056026,0.00333333333333334,0.58,0.79,0.929292929292929
44,Relative Clause,go_past_time,G-Maze,good,60,24,72.6609621838719,96.5732089711753,121.436221056026,0.00666666666666667,0.707070707070707,0.91,0.98989898989899
45,Relative Clause,go_past_time,G-Maze,good,80,24,72.6609621838719,96.5732089711753,121.436221056026,0.00999999999999999,0.656565656565657,0.888888888888889,1
46,Relative Clause,go_past_time,A-Maze,good,10,24,55.4953587819672,73.0423501855069,91.1969022071944,0.0133333333333333,0.214285714285714,0.323232323232323,0.484848484848485
47,Relative Clause,go_past_time,A-Maze,good,20,24,55.4953587819672,73.0423501855069,91.1969022071944,0.0133333333333333,0.404040404040404,0.585858585858586,0.785714285714286
