,experiment,metric,measure,n_subj,n_item,effect_size,failed_mean,power
95,Adverb,go_past_time,MoTR,120,24,0.164194736875,0,1
96,Adverb,go_past_time,MoTR,140,24,0.164194736875,0,1
97,Adverb,go_past_time,MoTR,160,24,0.164194736875,0.00999999999999999,1
98,Adverb,go_past_time,MoTR,180,24,0.164194736875,0,1
99,Adverb,go_past_time,MoTR,200,24,0.164194736875,0,1
100,Adverb,go_past_time,G-Maze,10,24,0.15418538972275,0.01,0.484848484848485
101,Adverb,go_past_time,G-Maze,20,24,0.15418538972275,0,0.86
102,Adverb,go_past_time,G-Maze,40,24,0.15418538972275,0.01,0.97979797979798
103,Adverb,go_past_time,G-Maze,60,24,0.15418538972275,0.01,0.97979797979798
104,Adverb,go_past_time,G-Maze,80,24,0.15418538972275,0,1
105,Adverb,go_past_time,G-Maze,100,24,0.15418538972275,0.02,0.989795918367347
106,Adverb,go_past_time,G-Maze,120,24,0.15418538972275,0.02,1
107,Adverb,go_past_time,G-Maze,140,24,0.15418538972275,0,0.98
108,Adverb,go_past_time,G-Maze,160,24,0.15418538972275,0.02,1
109,Adverb,go_past_time,G-Maze,180,24,0.15418538972275,0.04,1
110,Adverb,go_past_time,G-Maze,200,24,0.15418538972275,0.03,1
111,Adverb,go_past_time,A-Maze,10,24,0.184276713775,0.01,0.858585858585859
112,Adverb,go_past_time,A-Maze,20,24,0.184276713775,0,0.99
113,Adverb,go_past_time,A-Maze,40,24,0.184276713775,0.02,1
114,Adverb,go_past_time,A-Maze,60,24,0.184276713775,0.02,1
115,Adverb,go_past_time,A-Maze,80,24,0.184276713775,0.03,1
116,Adverb,go_past_time,A-Maze,100,24,0.184276713775,0.02,1
117,Adverb,go_past_time,A-Maze,120,24,0.184276713775,0.03,1
118,Adverb,go_past_time,A-Maze,140,24,0.184276713775,0.01,1
119,Adverb,go_past_time,A-Maze,160,24,0.184276713775,0.01,1
120,Adverb,go_past_time,A-Maze,180,24,0.184276713775,0.03,1
121,Adverb,go_past_time,A-Maze,200,24,0.184276713775,0.03,1
122,Adverb,go_past_time,SPR,10,24,0.0145934723038675,0.005,0.120252525252525
123,Adverb,go_past_time,SPR,20,24,0.0145934723038675,0.005,0.257121212121212
124,Adverb,go_past_time,SPR,40,24,0.0145934723038675,0.01,0.383838383838384
125,Adverb,go_past_time,SPR,60,24,0.0145934723038675,0.025,0.498842836103514
126,Adverb,go_past_time,SPR,80,24,0.0145934723038675,0.035,0.57678264604811
127,Adverb,go_past_time,SPR,100,24,0.0145934723038675,0.04,0.555181768855127
128,Adverb,go_past_time,SPR,120,24,0.0145934723038675,0.05,0.686835106382979
129,Adverb,go_past_time,SPR,140,24,0.0145934723038675,0.045,0.629605263157895
130,Adverb,go_past_time,SPR,160,24,0.0145934723038675,0.05,0.591422872340426
131,Adverb,go_past_time,SPR,180,24,0.0145934723038675,0.065,0.63516609392898
132,Adverb,go_past_time,SPR,200,24,0.0145934723038675,0.07,0.67741935483871
