expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_pass_time,FPFix,FPReg
1,2,9,a,10,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9,bow,11,Yes,Yes,1,598.0,598.0,598.0,598.0,783.0,1.0,1.0
1,2,9,after,12,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9,the,13,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9,show.,14,Yes,Yes,1,455.0,455.0,455.0,455.0,455.0,1.0,0.0
1,2,10,The,0,No,No,1,650.0,650.0,650.0,650.0,650.0,1.0,0.0
1,2,10,juggler,1,No,No,1,283.0,283.0,283.0,283.0,283.0,1.0,0.0
1,2,10,entertained,2,No,No,1,983.0,983.0,983.0,983.0,983.0,1.0,0.0
1,2,10,the,3,No,No,1,220.0,220.0,220.0,220.0,220.0,1.0,0.0
1,2,10,"children,",4,No,No,1,1119.0,1119.0,1119.0,1119.0,1119.0,1.0,0.0
1,2,10,and,5,No,No,1,78.0,78.0,78.0,78.0,78.0,1.0,0.0
1,2,10,their,6,No,No,1,640.0,640.0,640.0,640.0,640.0,1.0,0.0
1,2,10,parents,7,No,No,1,210.0,210.0,210.0,210.0,210.0,1.0,0.0
1,2,10,drank,8,No,No,1,101.0,101.0,101.0,101.0,101.0,1.0,0.0
1,2,10,wine,9,No,No,1,353.0,353.0,353.0,353.0,353.0,1.0,0.0
1,2,10,at,10,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,the,11,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,10,party.,12,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,11,The,0,No,No,1,542.0,542.0,542.0,542.0,542.0,1.0,0.0
1,2,11,woman,1,No,No,1,110.0,110.0,110.0,110.0,110.0,1.0,0.0
1,2,11,dressed,2,No,No,1,496.0,496.0,496.0,496.0,496.0,1.0,0.0
1,2,11,her,3,No,No,1,72.0,72.0,72.0,72.0,72.0,1.0,0.0
1,2,11,"baby,",4,No,No,1,841.0,841.0,841.0,841.0,841.0,1.0,0.0
1,2,11,and,5,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,11,her,6,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,11,son,7,No,No,1,989.0,989.0,989.0,989.0,989.0,1.0,0.0
1,2,11,got,8,No,No,1,201.0,201.0,201.0,201.0,201.0,1.0,0.0
1,2,11,his,9,No,No,1,456.0,456.0,456.0,456.0,456.0,1.0,0.0
1,2,11,clothes,10,No,No,1,297.0,297.0,297.0,297.0,297.0,1.0,0.0
1,2,11,from,11,No,No,1,366.0,366.0,366.0,366.0,366.0,1.0,0.0
1,2,11,the,12,No,No,1,596.0,596.0,596.0,596.0,596.0,1.0,0.0
1,2,11,dresser.,13,No,No,1,122.0,122.0,122.0,122.0,122.0,1.0,0.0
1,2,12,Diane,0,Yes,Yes,1,896.0,896.0,896.0,896.0,896.0,1.0,0.0
