expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_past_time,FPFix,FPReg
2,1,20,time,35,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,each,36,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,morning,37,No,No,1.0,299.0,299.0,299.0,299.0,299.0,299.0,1.0,0.0
2,1,20,the,38,No,No,1.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,cooks,39,No,No,1.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,turned,40,No,No,1.0,250.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,"out,",41,No,No,1.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,fires,42,No,No,1.0,251.0,251.0,251.0,251.0,251.0,1352.0,1.0,1.0
2,1,20,were,43,No,No,1.0,249.0,500.0,249.0,249.0,249.0,249.0,1.0,0.0
2,1,20,"built,",44,No,No,1.0,201.0,201.0,201.0,201.0,201.0,201.0,1.0,0.0
2,1,20,and,45,No,No,1.0,400.0,400.0,400.0,400.0,400.0,1151.0,1.0,1.0
2,1,20,breakfast,46,No,No,1.0,500.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0
2,1,20,was,47,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,eaten.,48,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,21,These,0,Yes,Yes,1.0,850.0,850.0,850.0,850.0,850.0,850.0,1.0,0.0
2,1,21,"days,",1,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,21,neuroscience,2,Yes,Yes,1.0,450.0,450.0,450.0,450.0,450.0,450.0,1.0,0.0
2,1,21,is,3,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,21,beginning,4,Yes,Yes,1.0,350.0,650.0,350.0,350.0,350.0,350.0,1.0,0.0
2,1,21,to,5,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,21,catch,6,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
