expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,2,he,18,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,saw,19,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,what,20,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,he,21,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,described,22,No,Spots on the sun.,0.0,445.0,445.0,445.0,445.0,445.0,1.0,0.0,0,0
2,1,2,as,23,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,"""two",24,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,patches,25,No,Spots on the sun.,0.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,2,of,26,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,intensely,27,No,Spots on the sun.,0.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,2,bright,28,No,Spots on the sun.,0.0,277.0,703.0,277.0,703.0,1070.0,1.0,1.0,0,0
2,1,2,and,29,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,white,30,No,Spots on the sun.,0.0,216.0,216.0,216.0,216.0,216.0,1.0,0.0,0,0
2,1,2,"light""",31,No,Spots on the sun.,0.0,185.0,185.0,185.0,185.0,185.0,1.0,0.0,0,0
2,1,2,over,32,No,Spots on the sun.,0.0,416.0,416.0,416.0,416.0,416.0,1.0,0.0,0,0
2,1,2,the,33,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,sunspots.,34,No,Spots on the sun.,0.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0,0
2,1,2,He,35,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
